matchday,H,A,Tore_H,Tore_A
21,BFC Meteor 06,TSV Rudow Berlin,NA,NA
21,FSV Berolina Stralau 1901,SV Stern Britz 1889,NA,NA
21,Berliner SV 1892,FC Viktoria 1889 Berlin II,NA,NA
21,BFC Preussen II,BSV Eintracht Mahlsdorf II,NA,NA
21,FC Internationale Berlin 1980,Berliner SC II,NA,NA
21,Köpenicker FC,SC Borsigwalde 1910,NA,NA
21,VfB Concordia Britz 1916,Türkiyemspor Berlin,NA,NA
21,SV Empor Berlin II,BSV Al-Dersimspor,NA,NA
20,BFC Meteor 06,BSV Al-Dersimspor,NA,NA
20,BFC Preussen II,SV Stern Britz 1889,NA,NA
20,Köpenicker FC,TSV Rudow Berlin,NA,NA
20,FC Internationale Berlin 1980,FC Viktoria 1889 Berlin II,NA,NA
20,VfB Concordia Britz 1916,Berliner SC II,NA,NA
20,SV Empor Berlin II,Berliner SV 1892,NA,NA
20,BSV Eintracht Mahlsdorf II,SC Borsigwalde 1910,NA,NA
20,FSV Berolina Stralau 1901,Türkiyemspor Berlin,NA,NA
19,TSV Rudow Berlin,BFC Preussen II,NA,NA
19,FC Internationale Berlin 1980,SV Empor Berlin II,NA,NA
19,Berliner SC II,BFC Meteor 06,NA,NA
19,Türkiyemspor Berlin,Köpenicker FC,NA,NA
19,SV Stern Britz 1889,BSV Eintracht Mahlsdorf II,NA,NA
19,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,NA,NA
19,Berliner SV 1892,VfB Concordia Britz 1916,NA,NA
19,BSV Al-Dersimspor,FSV Berolina Stralau 1901,NA,NA
18,TSV Rudow Berlin,BSV Eintracht Mahlsdorf II,NA,NA
18,SC Borsigwalde 1910,SV Stern Britz 1889,NA,NA
18,SV Empor Berlin II,FC Viktoria 1889 Berlin II,NA,NA
18,FSV Berolina Stralau 1901,Berliner SC II,NA,NA
18,BFC Meteor 06,Berliner SV 1892,NA,NA
18,VfB Concordia Britz 1916,FC Internationale Berlin 1980,NA,NA
18,BFC Preussen II,Türkiyemspor Berlin,NA,NA
18,Köpenicker FC,BSV Al-Dersimspor,NA,NA
17,TSV Rudow Berlin,SC Borsigwalde 1910,NA,NA
17,BSV Al-Dersimspor,BFC Preussen II,NA,NA
17,FC Viktoria 1889 Berlin II,SV Stern Britz 1889,NA,NA
17,FC Internationale Berlin 1980,BFC Meteor 06,NA,NA
17,Berliner SC II,Köpenicker FC,NA,NA
17,Türkiyemspor Berlin,BSV Eintracht Mahlsdorf II,NA,NA
17,Berliner SV 1892,FSV Berolina Stralau 1901,NA,NA
17,SV Empor Berlin II,VfB Concordia Britz 1916,NA,NA
16,SV Stern Britz 1889,TSV Rudow Berlin,NA,NA
16,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,NA,NA
16,BFC Meteor 06,SV Empor Berlin II,NA,NA
16,BFC Preussen II,Berliner SC II,NA,NA
16,SC Borsigwalde 1910,Türkiyemspor Berlin,NA,NA
16,Köpenicker FC,Berliner SV 1892,NA,NA
16,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,NA,NA
16,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,NA,NA
15,SC Borsigwalde 1910,TSV Rudow Berlin,NA,NA
15,BFC Preussen II,BSV Al-Dersimspor,NA,NA
15,SV Stern Britz 1889,FC Viktoria 1889 Berlin II,NA,NA
15,BFC Meteor 06,FC Internationale Berlin 1980,NA,NA
15,Köpenicker FC,Berliner SC II,NA,NA
15,BSV Eintracht Mahlsdorf II,Türkiyemspor Berlin,NA,NA
15,FSV Berolina Stralau 1901,Berliner SV 1892,NA,NA
15,VfB Concordia Britz 1916,SV Empor Berlin II,NA,NA
14,BSV Eintracht Mahlsdorf II,TSV Rudow Berlin,NA,NA
14,SV Stern Britz 1889,SC Borsigwalde 1910,NA,NA
14,FC Viktoria 1889 Berlin II,SV Empor Berlin II,NA,NA
14,Berliner SC II,FSV Berolina Stralau 1901,NA,NA
14,Berliner SV 1892,BFC Meteor 06,NA,NA
14,FC Internationale Berlin 1980,VfB Concordia Britz 1916,NA,NA
14,Türkiyemspor Berlin,BFC Preussen II,NA,NA
14,BSV Al-Dersimspor,Köpenicker FC,NA,NA
13,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,NA,NA
13,BFC Preussen II,SV Empor Berlin II,NA,NA
13,SV Stern Britz 1889,Berliner SC II,NA,NA
13,Köpenicker FC,VfB Concordia Britz 1916,NA,NA
13,Türkiyemspor Berlin,FC Viktoria 1889 Berlin II,NA,NA
13,FSV Berolina Stralau 1901,BFC Meteor 06,NA,NA
13,SC Borsigwalde 1910,Berliner SV 1892,NA,NA
13,TSV Rudow Berlin,BSV Al-Dersimspor,NA,NA
12,BFC Meteor 06,Köpenicker FC,NA,NA
12,SV Empor Berlin II,BSV Eintracht Mahlsdorf II,NA,NA
12,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,NA,NA
12,Berliner SC II,TSV Rudow Berlin,NA,NA
12,Berliner SV 1892,SV Stern Britz 1889,NA,NA
12,FC Internationale Berlin 1980,SC Borsigwalde 1910,NA,NA
12,VfB Concordia Britz 1916,BFC Preussen II,NA,NA
12,BSV Al-Dersimspor,Türkiyemspor Berlin,NA,NA
11,FC Internationale Berlin 1980,TSV Rudow Berlin,NA,NA
11,BFC Meteor 06,BSV Eintracht Mahlsdorf II,NA,NA
11,Köpenicker FC,FC Viktoria 1889 Berlin II,NA,NA
11,SV Empor Berlin II,SV Stern Britz 1889,NA,NA
11,Berliner SC II,BSV Al-Dersimspor,NA,NA
11,Berliner SV 1892,Türkiyemspor Berlin,NA,NA
11,FSV Berolina Stralau 1901,BFC Preussen II,NA,NA
11,VfB Concordia Britz 1916,SC Borsigwalde 1910,NA,NA
10,FC Viktoria 1889 Berlin II,BSV Al-Dersimspor,NA,NA
10,BFC Preussen II,BFC Meteor 06,NA,NA
10,SV Stern Britz 1889,FC Internationale Berlin 1980,NA,NA
10,TSV Rudow Berlin,Berliner SV 1892,NA,NA
10,Köpenicker FC,FSV Berolina Stralau 1901,NA,NA
10,BSV Eintracht Mahlsdorf II,VfB Concordia Britz 1916,NA,NA
10,SC Borsigwalde 1910,SV Empor Berlin II,NA,NA
10,Türkiyemspor Berlin,Berliner SC II,NA,NA
9,TSV Rudow Berlin,SV Stern Britz 1889,NA,NA
9,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,NA,NA
9,SV Empor Berlin II,BFC Meteor 06,NA,NA
9,Berliner SC II,BFC Preussen II,NA,NA
9,Türkiyemspor Berlin,SC Borsigwalde 1910,NA,NA
9,Berliner SV 1892,Köpenicker FC,NA,NA
9,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,NA,NA
9,BSV Al-Dersimspor,BSV Eintracht Mahlsdorf II,NA,NA
8,SC Borsigwalde 1910,BFC Meteor 06,NA,NA
8,SV Stern Britz 1889,VfB Concordia Britz 1916,NA,NA
8,BFC Preussen II,Köpenicker FC,NA,NA
8,TSV Rudow Berlin,SV Empor Berlin II,NA,NA
8,FC Viktoria 1889 Berlin II,Berliner SC II,NA,NA
8,BSV Eintracht Mahlsdorf II,FSV Berolina Stralau 1901,NA,NA
8,Türkiyemspor Berlin,FC Internationale Berlin 1980,NA,NA
8,BSV Al-Dersimspor,Berliner SV 1892,NA,NA
7,FC Internationale Berlin 1980,BSV Al-Dersimspor,NA,NA
7,BFC Preussen II,FC Viktoria 1889 Berlin II,NA,NA
7,BFC Meteor 06,SV Stern Britz 1889,NA,NA
7,Köpenicker FC,BSV Eintracht Mahlsdorf II,NA,NA
7,SV Empor Berlin II,Türkiyemspor Berlin,NA,NA
7,Berliner SV 1892,Berliner SC II,NA,NA
7,VfB Concordia Britz 1916,TSV Rudow Berlin,NA,NA
7,FSV Berolina Stralau 1901,SC Borsigwalde 1910,NA,NA
6,TSV Rudow Berlin,BFC Meteor 06,NA,NA
6,SV Stern Britz 1889,FSV Berolina Stralau 1901,NA,NA
6,FC Viktoria 1889 Berlin II,Berliner SV 1892,NA,NA
6,BSV Eintracht Mahlsdorf II,BFC Preussen II,NA,NA
6,Berliner SC II,FC Internationale Berlin 1980,NA,NA
6,SC Borsigwalde 1910,Köpenicker FC,NA,NA
6,Türkiyemspor Berlin,VfB Concordia Britz 1916,NA,NA
6,BSV Al-Dersimspor,SV Empor Berlin II,NA,NA
5,Köpenicker FC,SV Stern Britz 1889,NA,NA
5,BFC Preussen II,SC Borsigwalde 1910,NA,NA
5,BFC Meteor 06,Türkiyemspor Berlin,NA,NA
5,SV Empor Berlin II,Berliner SC II,NA,NA
5,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,NA,NA
5,VfB Concordia Britz 1916,BSV Al-Dersimspor,NA,NA
5,FC Internationale Berlin 1980,Berliner SV 1892,NA,NA
5,FSV Berolina Stralau 1901,TSV Rudow Berlin,NA,NA
4,BSV Al-Dersimspor,BFC Meteor 06,NA,NA
4,SV Stern Britz 1889,BFC Preussen II,NA,NA
4,TSV Rudow Berlin,Köpenicker FC,NA,NA
4,FC Viktoria 1889 Berlin II,FC Internationale Berlin 1980,NA,NA
4,Berliner SC II,VfB Concordia Britz 1916,NA,NA
4,Berliner SV 1892,SV Empor Berlin II,NA,NA
4,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,NA,NA
4,Türkiyemspor Berlin,FSV Berolina Stralau 1901,NA,NA
3,BFC Preussen II,TSV Rudow Berlin,NA,NA
3,SV Empor Berlin II,FC Internationale Berlin 1980,NA,NA
3,BFC Meteor 06,Berliner SC II,NA,NA
3,Köpenicker FC,Türkiyemspor Berlin,NA,NA
3,BSV Eintracht Mahlsdorf II,SV Stern Britz 1889,NA,NA
3,SC Borsigwalde 1910,FC Viktoria 1889 Berlin II,NA,NA
3,VfB Concordia Britz 1916,Berliner SV 1892,NA,NA
3,FSV Berolina Stralau 1901,BSV Al-Dersimspor,NA,NA
2,FC Internationale Berlin 1980,BFC Preussen II,NA,NA
2,FC Viktoria 1889 Berlin II,BFC Meteor 06,NA,NA
2,Berliner SC II,SC Borsigwalde 1910,NA,NA
2,Türkiyemspor Berlin,TSV Rudow Berlin,NA,NA
2,Berliner SV 1892,BSV Eintracht Mahlsdorf II,NA,NA
2,VfB Concordia Britz 1916,FSV Berolina Stralau 1901,NA,NA
2,BSV Al-Dersimspor,SV Stern Britz 1889,NA,NA
2,SV Empor Berlin II,Köpenicker FC,NA,NA
1,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,NA,NA
1,BFC Meteor 06,VfB Concordia Britz 1916,NA,NA
1,BFC Preussen II,Berliner SV 1892,NA,NA
1,SV Stern Britz 1889,Türkiyemspor Berlin,NA,NA
1,Köpenicker FC,FC Internationale Berlin 1980,NA,NA
1,BSV Eintracht Mahlsdorf II,Berliner SC II,NA,NA
1,SC Borsigwalde 1910,BSV Al-Dersimspor,NA,NA
1,FSV Berolina Stralau 1901,SV Empor Berlin II,NA,NA
